city,day_period,weather_conditions,road_traffic_density,order_day_week,type_of_vehicle,delivery_location_longitude,delivery_location_latitude,festival
2,1,4,1,6,2,75.912471,22.765049,0
0,2,3,0,5,3,77.813237,13.043041,0
2,1,2,2,6,2,77.6884,12.924264,0
0,2,4,3,2,2,77.026494,11.053669,0
0,0,0,1,6,3,80.289982,13.012793,0
2,2,0,0,5,2,78.438321,17.461668,0
0,2,1,0,5,3,85.44982,23.479746,0
0,0,0,3,1,2,76.73665,12.482058,0
0,2,3,0,0,2,78.516744,17.563809,0
0,2,1,0,6,2,78.116106,30.397968,0
0,0,3,1,0,2,76.347589,10.043064,0
0,0,2,3,5,3,74.006619,18.65245,0
0,1,2,2,0,2,75.829346,30.919584,0
0,2,1,0,1,3,80.502929,26.593504,0
0,2,2,0,6,1,72.926721,19.266269,0
0,0,5,1,2,3,76.694878,12.351072,0
0,2,2,0,3,2,73.883572,18.702718,0
0,2,0,0,0,2,78.477495,17.496228,0
2,2,5,0,2,2,88.382885,22.582672,0
0,2,2,0,3,2,73.995367,18.643935,0
0,2,2,2,4,1,85.455146,23.487804,0
0,1,2,2,5,2,76.986494,11.013669,0
0,2,5,0,0,3,80.348114,13.116047,0
0,0,0,1,6,2,72.902381,19.261315,0
0,2,4,3,0,1,80.360744,13.115801,0
2,2,3,0,2,2,75.830512,26.879596,0
0,2,0,2,6,3,72.861477,21.250522,0
0,2,5,0,3,2,77.705797,13.024179,0
2,2,5,2,6,1,73.948429,18.62421,0
0,2,2,2,5,2,77.025667,11.052477,0
2,2,3,2,6,2,72.824209,21.210437,0
2,2,2,2,5,2,73.83346,15.56315,0
2,0,0,1,5,3,73.789478,15.601295,0
2,2,3,0,2,3,0.11,0.11,0
0,2,0,2,6,3,74.045367,18.693935,0
0,2,4,3,2,2,73.874855,18.62144,0
2,0,5,1,0,3,73.825901,18.633481,0
0,1,2,2,3,3,72.802731,21.183343,0
2,1,4,2,5,3,78.405883,17.471976,0
0,1,3,2,1,3,77.628179,12.992532,0
0,2,1,2,5,2,77.678179,13.042532,0
0,0,0,3,1,2,80.306442,13.134181,0
0,2,0,3,3,3,72.988493,19.201999,0
0,2,2,0,1,2,72.862697,21.239569,0
0,2,3,0,2,3,72.937808,19.201458,0
2,1,1,2,0,3,88.385507,22.559129,0
0,2,4,0,4,1,72.922381,19.281315,0
0,2,5,3,6,3,77.705748,13.030324,0
2,0,0,3,3,2,80.276442,13.104181,0
0,1,4,1,6,3,72.805503,21.185975,0
0,0,1,3,0,2,85.37982,23.409746,0
0,2,3,2,5,3,77.7884,13.024264,0
0,2,0,2,0,2,0.03,0.03,0
0,2,2,0,1,2,77.055525,11.083681,0
0,2,0,2,6,2,72.852731,21.233343,0
2,0,4,3,4,2,77.061082,11.05185,0
0,2,4,2,1,2,78.105053,27.255108,0
1,2,1,0,3,3,0.08,0.08,0
0,1,5,2,6,3,75.810689,26.89842,0
0,2,0,0,0,2,0.06,0.06,0
2,2,2,2,2,3,75.832891,26.993987,0
0,2,4,0,3,3,76.695808,12.3385,0
0,2,0,2,6,3,72.884492,21.253434,0
2,2,2,2,4,2,72.958923,19.364567,0
0,0,1,3,4,3,73.844855,18.59144,0
0,1,2,2,2,1,81.859744,25.469659,0
0,2,3,0,2,2,78.127151,30.422202,0
0,1,3,2,1,3,0.02,0.02,0
2,0,1,3,1,3,0.04,0.04,0
0,2,0,0,3,3,80.339982,13.062793,0
2,0,4,1,4,3,72.808778,21.197735,0
0,0,1,3,2,3,72.834115,21.226438,0
2,2,2,2,5,2,0.08,0.08,0
0,1,1,2,3,2,0.02,0.02,0
0,2,1,2,5,3,77.65413,12.975662,0
0,2,1,2,6,2,78.46035,17.491477,0
0,2,1,0,5,2,0.05,0.05,0
0,2,2,0,6,2,80.326442,13.154181,0
0,2,1,0,2,3,77.704293,13.023298,0
0,0,5,1,6,1,73.204798,22.351358,0
0,2,0,0,4,3,77.726155,13.044365,0
0,2,5,2,3,2,0.11,0.11,0
0,2,0,3,0,3,80.330672,13.196438,0
2,2,3,3,0,2,72.958923,19.364567,0
0,1,3,1,4,2,75.823139,26.933483,0
0,2,3,0,3,2,78.389645,17.471028,0
0,2,3,0,4,2,73.892527,18.566216,0
2,0,5,1,2,3,73.782294,15.6096,0
2,2,1,2,5,2,75.444792,19.956428,1
0,1,1,2,2,2,77.635999,12.949496,0
0,2,3,0,3,2,78.496744,17.543809,0
0,1,3,2,5,2,85.345739,23.384878,0
0,2,2,2,3,3,78.127044,27.233303,0
2,1,0,2,5,3,75.9134,22.76806,0
0,0,4,3,1,1,75.892083,26.981191,0
0,2,3,0,5,2,72.884209,21.270437,0
0,2,4,2,5,2,76.653067,12.366967,0
0,2,2,2,1,1,72.922585,19.017584,0
0,2,1,2,5,2,77.048349,11.072298,0
0,0,0,1,0,3,76.672278,12.365461,0
0,2,5,2,5,2,73.938972,18.640963,0
2,2,0,2,6,3,78.530366,17.488998,0
0,2,5,2,3,2,72.966191,19.3113,0
2,1,3,2,2,2,77.005667,11.032477,0
2,1,2,2,2,2,75.904167,22.747021,0
0,2,2,0,5,2,77.730709,13.069166,0
2,2,0,2,5,3,72.935553,19.104237,0
0,2,1,0,3,3,76.755861,12.414747,0
2,1,2,2,2,3,72.815503,21.195975,0
0,2,0,0,2,2,77.111876,11.130762,0
0,2,4,2,4,2,72.902731,21.283343,0
0,1,0,2,5,3,80.335042,26.499108,0
0,2,4,2,1,2,72.884342,21.255104,0
0,2,5,0,3,2,72.946721,19.286269,0
0,2,2,2,2,3,77.746664,13.025377,0
0,2,4,2,2,1,85.385447,23.419194,0
0,1,0,2,3,2,76.675169,12.307954,0
2,2,0,3,3,2,85.405055,23.439407,0
0,2,2,2,0,2,85.406842,23.506792,0
0,2,0,0,0,2,75.836896,26.922313,0
0,2,1,2,6,1,73.280283,22.42279,0
0,2,1,3,2,3,75.996362,22.871593,0
0,0,4,1,4,3,76.984652,11.066117,0
0,0,2,3,4,2,80.276442,13.104181,0
0,2,2,2,2,3,80.367833,26.533042,0
0,1,5,2,5,3,77.111876,11.130762,0
0,2,1,0,2,3,85.435347,23.469033,0
0,2,4,2,4,2,88.463452,22.599358,0
0,2,4,2,4,2,77.7584,12.994264,0
0,0,4,1,2,3,72.948493,19.161999,0
2,1,1,2,0,3,72.778726,21.167729,0
0,2,0,0,4,2,73.225012,22.371603,0
0,1,1,2,1,2,73.916485,18.556562,0
0,1,0,2,3,2,75.913106,22.765536,0
0,0,5,3,6,2,77.704293,13.023298,0
0,2,1,2,4,2,77.675999,12.989496,0
2,0,1,3,3,3,0.04,0.04,0
0,1,2,2,6,2,78.417495,17.436228,0
0,2,1,0,5,2,77.706155,13.024365,1
0,2,5,2,0,2,77.036494,11.063669,0
0,2,3,2,3,3,73.935101,18.573626,0
0,2,1,0,4,2,73.234798,22.381358,0
0,2,2,0,3,2,80.328114,13.096047,0
0,2,3,0,4,3,78.509654,17.47233,0
0,2,4,0,6,1,72.869292,21.25106,0
2,0,2,1,4,3,72.833616,21.226884,0
0,2,1,3,3,2,76.974652,11.056117,0
2,0,0,1,4,2,0.04,0.04,0
0,2,0,2,5,3,72.902658,19.135838,0
2,0,5,1,6,2,0.04,0.04,0
0,2,2,2,1,2,77.700489,13.04041,0
0,0,3,3,5,2,77.105667,11.132477,0
0,1,5,2,0,3,0.02,0.02,0
0,1,5,2,5,3,0.01,0.01,0
0,0,0,1,5,2,76.699264,12.350972,0
0,0,2,3,0,2,77.095393,11.105083,0
2,2,0,0,4,2,76.733067,12.446967,0
0,2,2,2,0,2,88.424878,22.598731,0
2,2,1,3,2,2,77.096241,11.111753,0
0,2,4,0,3,2,73.248921,22.400237,0
0,2,5,2,1,3,85.405347,23.439033,0
0,0,5,3,4,2,73.855901,18.663481,0
0,2,1,0,4,2,72.844115,21.236438,0
0,2,3,3,1,3,75.948497,22.775748,0
0,2,1,2,1,2,0.07,0.07,0
0,0,1,3,5,2,78.469347,17.540851,0
0,2,3,2,5,1,80.338519,13.171878,0
2,2,5,3,1,2,76.406958,10.105573,0
0,2,5,0,5,2,73.247753,22.388096,0
0,1,5,2,4,3,80.231898,12.985996,0
0,2,5,2,5,3,76.695808,12.3385,0
0,1,5,1,6,2,72.844715,19.188321,0
2,2,3,2,1,3,0.06,0.06,0
0,2,4,0,3,3,75.863013,26.990262,0
0,2,1,3,3,2,81.930187,25.513994,0
0,2,0,3,2,2,85.415447,23.449194,0
0,2,2,2,1,3,78.550366,17.508998,0
2,2,1,3,4,3,73.888972,18.590963,0
0,0,5,1,3,2,76.661094,12.361214,0
0,2,2,3,6,2,75.873139,26.983483,0
0,0,5,3,6,2,76.725808,12.3685,0
0,2,0,0,2,2,72.893984,19.115831,0
0,2,1,0,3,2,76.687889,12.407928,0
0,2,1,0,4,2,85.394253,23.421489,1
0,2,3,0,0,2,75.964212,22.808163,0
0,2,1,0,1,2,80.305235,13.056286,0
0,1,2,2,2,2,75.857333,26.786536,0
0,2,3,0,4,3,72.808666,21.179834,0
1,2,2,0,1,2,76.755808,12.3985,1
0,2,5,2,3,2,72.842629,21.219669,0
0,0,0,1,5,2,78.369645,17.451028,0
0,2,1,0,6,2,80.405628,26.572581,0
0,0,4,3,2,2,76.685861,12.344747,0
0,1,4,2,4,2,75.799034,26.921378,0
0,2,4,0,3,1,80.288812,13.10978,0
0,0,1,1,4,2,76.670583,12.363194,0
0,2,1,0,4,2,74.005367,18.653934,1
0,2,4,0,4,2,88.493187,22.629367,0
0,2,2,0,3,2,77.759386,13.009934,0
2,2,2,2,0,3,72.875503,21.255975,0
0,0,3,3,5,2,75.997648,22.835835,0
0,2,0,0,5,2,73.956485,18.596562,0
0,1,2,2,4,2,85.336842,23.436792,0
0,2,5,3,2,3,75.852199,30.92286,0
0,1,3,2,1,2,76.679264,12.330972,0
0,0,1,3,5,2,75.832891,26.993987,0
0,1,1,2,0,2,77.006241,11.021753,0
0,2,3,0,3,1,73.238921,22.390237,0
0,0,1,3,0,2,77.685428,13.003284,0
0,0,1,3,6,3,76.705169,12.337954,0
0,1,5,2,1,1,76.61665,12.362058,0
0,2,5,3,6,2,80.280672,13.146439,0
0,0,5,3,1,3,78.432621,17.469585,0
0,2,2,3,2,2,77.713685,13.048453,0
2,0,1,3,4,2,80.30147,13.084694,0
0,2,4,3,2,2,77.770489,13.11041,0
0,2,1,0,1,2,0.06,0.06,0
0,2,5,3,5,1,75.8823,26.926156,0
0,2,3,0,2,3,81.869744,25.479659,0
0,2,3,2,2,3,75.937282,27.051927,0
0,1,3,2,0,2,76.320631,10.030683,0
0,0,5,3,0,2,77.65413,12.975662,0
0,0,4,1,0,2,73.783606,15.625658,0
0,2,1,0,3,2,0.13,0.13,0
0,2,0,3,6,2,78.482621,17.519585,0
0,2,2,3,0,2,75.967333,26.896536,0
0,2,1,2,2,2,75.9423,26.986156,0
0,2,0,0,5,2,75.892891,27.053987,0
0,2,4,2,0,3,73.280937,22.420526,0
0,2,3,3,5,3,0.03,0.03,0
2,2,1,3,3,1,77.658179,13.022532,0
0,2,2,0,3,3,0.07,0.07,0
0,2,5,0,6,2,72.936749,19.193249,0
0,2,5,2,1,2,78.487495,17.506228,0
0,1,1,2,5,2,80.333564,26.491617,0
0,2,2,2,5,2,75.428894,19.976969,0
0,1,4,2,6,3,73.795901,18.603481,0
0,2,1,2,3,3,77.676791,12.986229,0
